"","Study","Group","Trial","Condition","Resp_RR","Resp_DET","Resp_LMAX","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_LMAX","HR_L","HR_ENTR","HR_LAM","HR_TT","Type"
"197","2","Group7&9",NA,"Synchronous",3.77418097733473,74.9953341669622,25,3.055237696972,1.41810367764067,92.2528508239861,5.2818293529946,21.3862542696617,98.4400689445402,116,11.5086340145086,3.19793279623548,99.5542127141843,20.3309425211198,"Surrogate"
"198","2","Group7&9",NA,"TurnTaking",2.49932686928268,74.2413460251252,24,2.94798981618779,1.32709042787634,95.9021764403328,7.0664001661302,19.6561511837096,98.9212258348057,90,10.6346558888826,3.08808076892774,99.6695018612031,17.6475928559151,"Surrogate"
"199","2","Group7&9",NA,"Synchronous",3.18110394846416,70.1890448116472,21,3.00123085662887,1.37352704362214,83.1819314124388,3.42677309007982,23.0755233354976,98.547349461533,129,11.7038273710148,2.99192876721603,99.2681119000976,20.746940250436,"Surrogate"
"200","2","Group7&9",NA,"TurnTaking",2.78564295385784,71.1280248817862,23,2.83837441033274,1.24826019314829,83.5531140162338,3.16092696226144,21.1969502503209,99.2626611956837,110,11.7966194005174,2.90837291230587,99.7422996787134,21.1481989172682,"Surrogate"
"201","2","Group7&9",NA,"Synchronous",5.7706629118094,91.0597562389761,63,4.5154119694333,2.06990289955233,95.3682964192641,6.41500913438841,22.1024975536883,98.4724898266708,99,9.25405652584375,2.95123227109051,99.5260425455102,19.8784525190457,"Surrogate"
"202","2","Group7&9",NA,"TurnTaking",4.42764166165817,89.2794075535334,48,4.23341819896275,1.93236036823738,97.4589551051577,7.90308327420499,19.5080801574937,98.5043597646101,97,8.88535793061961,2.84132717964964,99.6386277100699,18.3981282324932,"Surrogate"
"203","2","Group8&1",NA,"Synchronous",4.00192720538138,83.486537268379,35,3.57103331451158,1.69846929557817,90.2942483619866,4.31990905454622,23.4301929936523,99.2067840178159,108,10.4003384015958,2.97685113036991,99.7794483469361,13.9155911202891,"Surrogate"
"204","2","Group8&1",NA,"TurnTaking",3.39682275257546,78.6795925244304,28,3.10245507880374,1.42561663941453,91.4953731304596,4.01022494887526,23.3499300322769,99.0658781035557,93,10.3471786833856,2.95650911001867,99.686199229316,13.1503934770039,"Surrogate"
"205","2","Group8&1",NA,"Synchronous",3.91600948740105,73.5459442930506,29,3.43809123397099,1.64184000731485,76.9131838581155,3.88475515580994,21.7023970124901,96.4125969147151,101,10.7773091974768,2.99766798929639,97.038206378387,17.9097024503223,"Surrogate"
"206","2","Group8&1",NA,"TurnTaking",3.48506495073071,88.3879215385082,36,3.47867157203938,1.65593136930332,93.0411407435853,4.2433055261096,19.7264224732129,96.9377122008743,109,11.1759785881566,3.13968488534843,97.6598437023221,19.4251906527671,"Surrogate"
"207","2","Group8&1",NA,"Synchronous",5.08321550977699,90.9322386198295,40,3.92407050275822,1.8672505323105,97.568073165662,6.16684913509963,25.6400871426438,99.3547121304377,130,14.0226300511802,3.14382942876722,99.7574588999391,23.0252658536204,"Surrogate"
"208","2","Group8&1",NA,"TurnTaking",4.18834347153014,86.290536194044,63,3.43917152624171,1.62735503557678,97.2969563956055,5.61221322209827,21.3790727555036,99.0809445491581,111,13.5388214424303,3.11993285074755,99.6004741732193,20.8569705207714,"Surrogate"
"209","2","Group8&1",NA,"Synchronous",3.95210936890539,70.6774555759531,35,3.30396384011331,1.56452327621968,79.2530343807368,3.7463613960444,21.5750031961207,96.2410633596944,73,8.65888310185186,2.81342492485046,97.065421191938,17.3846120615172,"Surrogate"
"210","2","Group8&1",NA,"TurnTaking",3.74376902837961,84.607967186743,33,3.37797892918177,1.59245756207191,94.037545214655,4.47390681645258,18.9677145837298,96.5085769732709,62,8.33056246299585,2.76585194413636,97.6226643900824,18.8566482361462,"Surrogate"
"211","2","Group8&5",NA,"Synchronous",4.7729854549175,88.9530443508963,43,4.09332608954008,1.92965356580156,94.0197680810794,5.68991001853216,31.0309930906548,97.7310320732304,144,11.5127126177917,3.20398669987015,98.231122912445,15.2509698752832,"Surrogate"
"212","2","Group8&5",NA,"TurnTaking",3.80434639051373,79.3979734952809,43,3.25383185370666,1.4824971242839,90.8399950008563,3.81241743725231,29.2520418311057,98.9101132523919,144,12.0156684484274,3.24650084794752,99.3667282998146,15.7482284167591,"Surrogate"
"213","2","Group8&5",NA,"Synchronous",3.56062816611369,70.588584400362,30,3.25714285714286,1.54091743588078,78.0451737661785,3.62145725760184,40.5768039521225,98.1734562486213,255,16.9325704342184,3.38690265826847,98.8956348656704,27.5220572489114,"Surrogate"
"214","2","Group8&5",NA,"TurnTaking",3.30472403049366,84.8725121892734,35,3.46237120125212,1.62997000861857,93.4676151653212,4.25453575240128,35.739984780047,98.0904598709241,230,17.3787825369117,3.52791007403684,98.9779837201548,29.2626095940536,"Surrogate"
"215","2","Group8&5",NA,"Synchronous",4.13780363742406,85.9456192839177,36,3.79161503510946,1.7998885167469,91.8050158954433,4.81758492082989,31.0870921650201,98.8793650386221,171,16.2386459440636,3.25653317569844,99.1755523799055,27.4886555206706,"Surrogate"
"216","2","Group8&5",NA,"TurnTaking",3.53243503914372,80.3096771620571,38,3.24323562570462,1.50110242917576,92.9629703483619,4.65967016491754,31.7986518528567,98.9400636834614,160,16.882297639437,3.31330988656318,99.1543966627553,29.2877652632088,"Surrogate"
"217","2","Group8&5",NA,"Synchronous",3.72200344128724,71.3177927810712,31,3.36198590418414,1.59727279067308,77.5800644395134,3.67021062291559,33.1902176675309,96.3642825410928,139,11.8999231965716,3.1876457093133,98.4110068727624,24.3769273591134,"Surrogate"
"218","2","Group8&5",NA,"TurnTaking",3.68468849060056,81.3335754771987,37,3.16639068227064,1.45223299224589,93.2714273425029,4.30168176508188,21.8963325880633,96.7738536616282,83,9.38309508629894,2.98699997245156,98.0383908483062,20.8828720890989,"Surrogate"
"219","2","Group8&6",NA,"Synchronous",3.84382733409067,82.7496002822076,41,3.74686248885017,1.78582316015471,88.9998579799248,5.36266769723403,32.8604751490988,97.9517943179185,203,14.9487299298299,3.44806161729338,98.2772900971895,23.412102767892,"Surrogate"
"220","2","Group8&6",NA,"TurnTaking",3.84498957417812,79.3487370903845,33,3.27215381128654,1.51396390246099,90.0185486271726,4.30400508025489,18.2815503952348,93.0362132850047,80,8.02402697305967,2.7912293177074,93.9193183381646,9.79981782719325,"Surrogate"
"221","2","Group8&6",NA,"Synchronous",3.24146999421874,71.5422685564966,25,3.24863704763549,1.53407249082652,77.6751614848457,3.51015147423465,22.1200350194222,94.2593806658845,69,9.32868440863971,2.83799212737923,97.1730961059493,17.6813687019306,"Surrogate"
"222","2","Group8&6",NA,"TurnTaking",3.41138597306526,84.1644211808674,33,3.31945518954355,1.5653862823718,92.8624523802149,4.23641201959307,22.9259084572043,95.0665578114348,107,10.7010441862842,3.02142773018503,98.1484269838904,21.7666543611773,"Surrogate"
"223","2","Group8&6",NA,"Synchronous",3.54497314432962,87.4207681761281,40,3.87095000329939,1.8205358947631,94.149760565899,5.03857401105912,22.6604526331438,96.726018693592,110,10.7306055896665,2.80115530957139,97.2177780499567,15.1913898491609,"Surrogate"
"224","2","Group8&6",NA,"TurnTaking",3.76218877279597,81.9582200212504,30,3.24243546535314,1.51635329017988,93.9515921420313,4.52941441949678,20.8530875567084,95.8816742489845,101,10.9804707966962,2.80405647887036,96.4871782713979,15.2137301451975,"Surrogate"
